5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane Points,% Observed
05/30/2018 22:08,25,1,100
05/31/2018 11:15,25,1,100
05/31/2018 13:50,25,1,100
05/31/2018 14:13,25,1,100
05/31/2018 14:13,25,1,100
05/31/2018 14:13,50,1,100
05/31/2018 15:33,25,1,100
05/31/2018 16:10,25,1,100
05/31/2018 16:59,25,1,100
05/31/2018 17:46,25,1,100
05/31/2018 18:31,50,1,100
05/31/2018 18:31,25,1,100
05/31/2018 19:18,50,1,100
05/31/2018 19:18,50,1,100
06/01/2018 23:57,25,1,100
06/01/2018 12:41,25,1,100
06/01/2018 1:14,25,1,100
06/01/2018 12:41,25,1,100
06/01/2018 15:40,25,1,100
06/01/2018 15:52,25,1,100
06/01/2018 16:25,25,1,100
06/01/2018 18:45,50,1,100
06/01/2018 18:45,50,1,100
06/01/2018 21:13,50,1,100
06/01/2018 22:06,50,1,100
06/01/2018 22:40,25,1,100
06/01/2018 23:13,50,1,100
06/01/2018 23:22,25,1,100
06/02/2018 23:56,25,1,100
06/02/2018 12:36,25,1,100
06/02/2018 12:52,25,1,100
06/02/2018 12:52,25,1,100
06/02/2018 12:52,25,1,100
06/04/2018 21:59,25,1,100
06/04/2018 21:59,25,1,100
06/04/2018 21:59,25,1,100
06/04/2018 10:09,25,1,100
06/04/2018 10:18,25,1,100
06/04/2018 10:59,25,1,100
06/04/2018 11:40,25,1,100
06/04/2018 13:56,25,1,100
06/04/2018 17:24,25,1,100
06/04/2018 17:47,25,1,100
06/04/2018 18:30,25,1,100
06/04/2018 18:30,25,1,100
06/04/2018 18:30,25,1,100
06/04/2018 19:53,25,1,100
06/04/2018 20:32,50,1,100
06/04/2018 21:07,25,1,100
06/04/2018 22:13,50,1,100
06/04/2018 22:28,25,1,100
06/04/2018 22:56,25,1,100
06/04/2018 22:56,50,1,100
06/05/2018 23:49,25,1,100
06/05/2018 23:49,25,1,100
06/05/2018 23:49,25,1,100
06/05/2018 12:16,25,1,100
06/05/2018 1:50,50,1,100
06/05/2018 11:05,25,1,100
06/05/2018 11:30,25,1,100
06/05/2018 24:07,50,1,100
06/05/2018 24:07,50,1,100
06/05/2018 13:11,25,1,100
06/05/2018 13:37,25,1,100
06/05/2018 14:32,25,1,100
06/05/2018 14:32,50,1,100
06/05/2018 15:42,25,1,100
06/05/2018 16:07,25,1,100
06/05/2018 16:36,25,1,100
06/05/2018 17:12,25,1,100
06/05/2018 17:37,25,1,100
06/05/2018 18:02,25,1,100
06/05/2018 18:43,25,1,100
06/05/2018 19:13,50,1,100
06/05/2018 19:40,25,1,100
06/05/2018 19:46,25,1,100
06/05/2018 22:34,50,1,100
06/05/2018 22:35,50,1,100
06/05/2018 23:39,25,1,100
06/06/2018 23:39,25,1,100
06/06/2018 12:29,25,1,100
06/06/2018 1:06,25,1,100
06/06/2018 12:29,25,1,100
06/06/2018 12:29,25,1,100
06/06/2018 12:29,25,1,100
06/06/2018 11:16,50,1,100
06/06/2018 24:12,25,1,100
06/06/2018 24:33,50,1,100
06/06/2018 24:33,50,1,100
06/06/2018 13:38,25,1,100
06/06/2018 13:38,25,1,100
06/06/2018 14:33,25,1,100
06/06/2018 15:07,50,1,100
06/06/2018 15:36,25,1,100
06/06/2018 16:04,25,1,100
06/06/2018 16:32,50,1,100
06/06/2018 16:32,25,1,100
06/06/2018 16:32,50,1,100
06/06/2018 18:00,50,1,100
06/06/2018 18:42,50,1,100
06/06/2018 18:41,50,1,100
06/06/2018 19:26,50,1,100
06/06/2018 20:13,75,1,100
06/06/2018 22:12,50,1,100
06/06/2018 22:14,50,1,100
06/06/2018 23:04,25,1,100
06/06/2018 23:28,25,1,100
06/07/2018 12:12,25,1,100
06/07/2018 12:12,25,1,100
06/07/2018 12:51,25,1,100
06/07/2018 12:50,25,1,100
06/07/2018 11:36,50,1,100
06/07/2018 13:49,75,1,100
06/07/2018 14:37,50,1,100
06/07/2018 15:02,50,1,100
06/07/2018 15:37,50,1,100
06/07/2018 15:53,50,1,100
06/07/2018 16:15,50,1,100
06/07/2018 17:12,25,1,100
06/07/2018 17:37,50,1,100
06/07/2018 18:06,25,1,100
06/07/2018 18:06,25,1,100
06/07/2018 19:11,75,1,100
06/07/2018 19:24,75,1,100
06/07/2018 20:11,75,1,100
06/07/2018 20:34,25,1,100
06/07/2018 21:44,75,1,100
06/07/2018 22:16,25,1,100
06/07/2018 23:10,25,1,100
06/07/2018 23:29,25,1,100
06/08/2018 23:29,25,1,100
06/08/2018 23:29,25,1,100
06/08/2018 12:52,25,1,100
06/08/2018 12:52,25,1,100
06/08/2018 2:02,25,1,100
06/08/2018 2:02,25,1,100
06/08/2018 2:02,25,1,100
06/08/2018 2:02,25,1,100
06/08/2018 10:50,75,1,100
06/08/2018 11:39,75,1,100
06/08/2018 24:11,50,1,100
06/08/2018 24:41,25,1,100
06/08/2018 24:41,25,1,100
06/08/2018 13:34,50,1,100
06/08/2018 13:51,25,1,100
06/08/2018 14:38,25,1,100
06/08/2018 14:38,50,1,100
06/08/2018 15:31,50,1,100
06/08/2018 16:10,25,1,100
06/08/2018 16:10,75,1,100
06/08/2018 16:47,75,1,100
06/08/2018 16:47,75,1,100
06/08/2018 18:01,25,1,100
06/08/2018 18:01,75,1,100
06/08/2018 18:45,25,1,100
06/08/2018 19:42,50,1,100
06/08/2018 22:52,25,1,100
06/08/2018 22:52,25,1,100
06/09/2018 23:38,25,1,100
06/09/2018 12:36,25,1,100
06/09/2018 12:36,25,1,100
06/09/2018 1:30,25,1,100
06/09/2018 24:54,25,1,100
06/09/2018 13:29,50,1,100
06/09/2018 14:10,50,1,100
06/09/2018 14:10,50,1,100
06/09/2018 15:13,25,1,100
06/09/2018 15:35,25,1,100
06/09/2018 16:04,50,1,100
06/09/2018 16:14,25,1,100
06/10/2018 1:20,25,1,100
06/10/2018 1:20,25,1,100
06/10/2018 1:20,25,1,100
06/10/2018 1:20,25,1,100
06/10/2018 1:20,25,1,100
06/10/2018 10:58,25,1,100
06/10/2018 24:13,25,1,100
06/10/2018 24:36,25,1,100
06/10/2018 24:36,50,1,100
06/10/2018 13:21,50,1,100
06/10/2018 14:04,75,1,100
06/10/2018 14:30,25,1,100
06/10/2018 14:30,75,1,100
06/10/2018 15:37,75,1,100
06/10/2018 15:37,25,1,100
06/10/2018 15:37,25,1,100
06/10/2018 15:36,25,1,100
06/10/2018 15:37,75,1,100
06/10/2018 15:37,25,1,100
06/10/2018 18:15,25,1,100
06/10/2018 18:15,25,1,100
06/10/2018 19:28,25,1,100
06/10/2018 19:28,25,1,100
06/10/2018 19:28,25,1,100
06/10/2018 19:28,25,1,100
06/10/2018 21:37,25,1,100
06/10/2018 21:37,25,1,100
06/10/2018 21:37,25,1,100
06/10/2018 21:37,50,1,100
06/10/2018 21:37,25,1,100
06/11/2018 21:37,25,1,100
06/11/2018 21:37,25,1,100
06/11/2018 21:37,25,1,100
06/11/2018 21:37,25,1,100
06/11/2018 21:37,25,1,100
06/11/2018 11:12,50,1,100
06/11/2018 11:38,50,1,100
06/11/2018 24:04,50,1,100
06/11/2018 24:12,25,1,100
06/11/2018 24:12,50,1,100
06/11/2018 13:42,25,1,100
06/11/2018 14:00,75,1,100
06/11/2018 14:43,50,1,100
06/11/2018 14:43,75,1,100
06/11/2018 15:41,25,1,100
06/11/2018 16:02,25,1,100
06/11/2018 16:15,50,1,100
06/11/2018 16:15,25,1,100
06/11/2018 16:14,25,1,100
06/11/2018 19:08,25,1,100
06/11/2018 19:09,75,1,100
06/11/2018 19:08,75,1,100
06/11/2018 21:44,25,1,100
06/12/2018 12:23,25,1,100
06/12/2018 22:55,25,1,100
06/13/2018 22:55,25,1,100
06/13/2018 12:31,25,1,100
06/13/2018 12:31,25,1,100
06/13/2018 12:31,25,1,100
06/13/2018 12:31,25,1,100
06/13/2018 11:09,50,1,100
06/13/2018 11:09,25,1,100
06/13/2018 11:09,50,1,100
06/13/2018 24:34,50,1,100
06/13/2018 13:10,50,1,100
